CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,8,-,-,74.83,-,-,65,"3,919.40","4,023.65",390,"20,100.00","20,16,040",0.15,0.20,"11,25,085",-0.25,0.20,104.38,"56,043","-12,685","18,385",
,1,-,-,-,-,-,780,"3,868.90","3,971.00",390,"20,150.00","3,445",0.25,0.35,"3,055",-0.30,0.20,105.29,"1,742",-476,861,
,1,-,-,-,-,-,780,"3,511.25","3,956.90",780,"20,200.00","4,09,500",0.20,0.25,"1,46,055",-0.25,0.25,105.74,"14,564","-4,992","6,092",
,1,-,-,-,-,-,780,"3,768.35","3,911.25",780,"20,250.00","9,555",0.25,0.30,"5,005",-0.20,0.30,107.23,997,139,553,
,2,-,-,-,-,-,65,"3,731.65","3,865.45",780,"20,300.00","24,245",0.30,0.35,"11,570",-0.15,0.35,105.82,"4,042",-519,"1,080",
,1,-,-,-,-,-,780,"3,665.40","3,776.30",780,"20,350.00","1,365",0.25,0.35,"3,965",-0.15,0.35,104.41,804,165,466,
,1,-,-,-,-,-,780,"3,624.05","3,745.70",780,"20,400.00","3,835",0.25,0.40,650,-0.15,0.35,100.23,"1,307",-306,447,
,1,-,-,-,-,-,780,"3,569.00","3,745.85",780,"20,450.00","2,795",0.20,0.35,"1,885",-0.15,0.35,98.85,882,-163,375,
,99,-31,65,-,"3,570.00",18.40,130,"3,574.25","3,587.65",65,"20,500.00","1,29,675",0.25,0.30,"26,520",-0.30,0.30,97.48,"16,593","-5,485","6,222",
,1,-,-,-,-,-,780,"3,471.00","3,586.30",780,"20,550.00",650,0.25,0.35,"2,210",-0.20,0.30,96.11,941,224,470,
,1,-,-,-,-,-,780,"3,421.00","3,523.65",780,"20,600.00","2,145",0.20,0.45,"1,560",-0.30,0.25,94.75,595,7,423,
,2,-,-,-,-,-,780,"3,375.15","3,460.80",780,"20,650.00","1,495",0.25,0.50,650,-0.30,0.25,93.38,984,79,517,
,2,-,-,-,-,-,780,"3,321.50","3,446.90",780,"20,700.00","50,570",0.30,0.35,"16,315",-0.25,0.30,93.39,"2,560",-696,"1,561",
,1,-,-,-,-,-,780,"3,271.75","3,365.70",780,"20,750.00",975,0.30,0.40,845,-0.30,0.35,93.20,559,124,317,
,-,-,-,64.41,-,-,780,"3,010.15","3,311.10",780,"20,800.00","36,270",0.25,0.35,"12,870",-0.45,0.25,89.30,"8,588","-1,750","2,051",
,3,-,-,-,-,-,65,"3,166.05","3,272.05",780,"20,850.00",260,0.30,0.40,845,-0.30,0.30,90.42,"1,219",-58,473,
,3,-,-,-,-,-,780,"3,129.65","3,220.40",780,"20,900.00","3,445",0.25,0.35,65,-0.30,0.40,89.03,"1,657",-352,733,
,2,-,-,-,-,-,780,"3,072.30","3,187.80",780,"20,950.00","1,755",0.30,0.35,780,-0.35,0.30,87.64,"1,265",-89,486,
,"1,993",-497,610,-,"3,075.15",21.70,130,"3,075.00","3,083.75",65,"21,000.00","5,06,675",0.35,0.40,"2,50,510",-0.40,0.35,86.26,"69,200","-20,295","18,087",
,3,-,-,-,-,-,780,"2,962.20","3,058.80",780,"21,050.00","4,030",0.25,0.45,"1,690",-0.40,0.30,83.78,952,9,539,
,4,-,-,-,-,-,780,"2,925.85","3,023.20",390,"21,100.00","97,240",0.25,0.30,"1,30,325",-0.45,0.30,82.42,"8,536","-2,094","3,617",
,4,-,-,-,-,-,780,"2,877.00","2,955.45",780,"21,150.00","2,210",0.35,0.45,"7,020",-0.20,0.45,83.93,"1,060",131,493,
,4,-,-,-,-,-,65,"2,814.70","2,919.15","1,755","21,200.00","95,745",0.35,0.40,"27,495",-0.45,0.35,80.74,"10,922","-1,940","2,809",
,4,-,-,-,-,-,780,"2,777.95","2,869.15","1,755","21,250.00","17,030",0.30,0.40,"6,630",-0.40,0.35,79.37,"2,512",-373,"1,101",
,4,-,-,54.25,-,-,780,"2,727.60","2,811.15",780,"21,300.00","1,22,265",0.30,0.35,"44,395",-0.50,0.35,77.99,"14,177","-5,074","3,528",
,5,-,-,170.74,-,-,780,"2,664.85","2,779.20","1,755","21,350.00",195,0.25,0.45,"3,575",-0.35,0.45,75.62,496,-6,571,
,5,-,-,-,-,-,780,"2,623.60","2,696.15",65,"21,400.00","62,400",0.30,0.35,"36,725",-0.50,0.35,75.25,"10,595","-2,861","2,745",
,6,-,-,168.93,-,-,780,"2,571.95","2,633.20",65,"21,450.00","29,120",0.35,0.40,"7,150",-0.50,0.35,74.75,"2,093",-130,"1,466",
,182,-6,7,-,"2,566.40",19.95,65,"2,575.15","2,585.90",195,"21,500.00","4,54,870",0.30,0.35,"1,63,670",-0.50,0.35,71.56,"78,263","-18,734","20,518",
,1,-,-,109.35,-,-,780,"2,468.40","2,563.45",780,"21,550.00","33,865",0.35,0.40,"3,770",-0.40,0.40,71.14,"2,420",-102,"1,748",
,3,-,-,-,-,-,780,"2,415.15","2,495.15",65,"21,600.00","82,485",0.30,0.35,"85,150",-0.50,0.35,68.85,"12,879","-1,581","3,841",
,2,-,-,38.18,-,-,780,"2,382.75","2,455.75",780,"21,650.00","31,460",0.40,0.45,"10,075",-0.40,0.45,69.23,"2,861",304,"1,781",
,3,-,-,-,-,-,780,"2,339.95","2,405.30",780,"21,700.00","37,765",0.35,0.40,"54,405",-0.50,0.35,67.05,"7,490","-1,856","4,298",
,2,-,-,-,-,-,780,"2,289.65","2,343.65",65,"21,750.00","18,135",0.45,0.50,"16,770",-0.50,0.45,67.19,"3,142",406,"1,249",
,41,-,-,-,-,-,780,"2,235.85","2,297.70",130,"21,800.00","1,58,145",0.35,0.40,"1,74,655",-0.50,0.35,65.80,"14,043","-3,879","8,732",
,3,-,-,23.67,-,-,780,"2,178.05","2,257.00",780,"21,850.00","23,530",0.45,0.50,"25,935",-0.50,0.45,64.42,"3,456",-158,"1,813",
,5,-,1,-,"2,125.00",23.05,65,"2,161.60","2,179.50",130,"21,900.00","56,355",0.40,0.45,"80,795",-0.55,0.40,62.36,"6,586",-614,"4,028",
,4,-,-,-,-,-,780,"2,082.85","2,170.35","1,755","21,950.00","34,385",0.45,0.50,"31,005",-0.55,0.45,62.26,"4,326",127,"2,112",
,"4,994",-447,"1,000",-,"2,073.00",20.10,65,"2,075.10","2,080.20",130,"22,000.00","12,95,840",0.40,0.45,"6,96,475",-0.60,0.40,60.26,"87,719","-25,692","47,353",
,14,-,-,34.37,-,-,780,"1,999.90","2,054.75",780,"22,050.00","76,180",0.45,0.50,"63,830",-0.50,0.50,59.47,"6,614",-615,"3,720",
,17,-,-,-,-,-,780,"1,929.70","1,998.70",780,"22,100.00","1,51,060",0.50,0.55,"1,58,275",-0.60,0.50,58.07,"18,934","-5,721","13,759",
,3,-,-,-,-,-,780,"1,894.90","1,956.95",780,"22,150.00","95,485",0.50,0.55,"49,920",-0.60,0.50,56.68,"11,272","-1,724","3,706",
,29,-1,5,-,"1,874.00",77.40,65,"1,871.70","1,882.15",65,"22,200.00","1,01,335",0.55,0.60,"1,56,845",-0.65,0.55,55.29,"43,731","-14,434","15,093",
,6,-,-,-,-,-,780,"1,775.85","1,856.55",780,"22,250.00","1,28,050",0.55,0.60,"31,135",-0.70,0.55,54.39,"8,715","-1,534","5,751",
