CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,8,-,-,74.83,-,-,780,"3,918.15","4,023.65",390,"20,100.00","20,17,860",0.15,0.20,"10,25,180",-0.30,0.15,104.37,"56,033","-12,681","18,389",
,1,-,-,-,-,-,780,"3,871.30","3,971.35",390,"20,150.00","19,695",0.20,0.35,"3,575",-0.30,0.20,105.28,"1,742",-476,861,
,1,-,-,-,-,-,780,"3,784.85","3,960.20",780,"20,200.00","4,09,630",0.20,0.25,"1,35,850",-0.25,0.25,105.73,"14,564","-4,992","6,092",
,1,-,-,-,-,-,780,"3,767.70","3,914.25",780,"20,250.00",455,0.30,0.35,"3,250",-0.15,0.35,107.22,981,139,553,
,2,-,-,-,-,-,"1,755","3,398.40","3,823.65",780,"20,300.00","25,025",0.30,0.35,"11,375",-0.15,0.35,105.81,"4,042",-519,"1,080",
,1,-,-,-,-,-,780,"3,664.70","3,814.10",780,"20,350.00","2,665",0.25,0.35,"3,575",-0.15,0.35,104.40,804,165,466,
,1,-,-,-,-,-,390,"3,616.65","3,749.20","1,690","20,400.00","3,965",0.25,0.35,65,-0.15,0.35,100.22,"1,306",-305,448,
,1,-,-,-,-,-,65,"3,567.50","3,672.15",65,"20,450.00","2,795",0.20,0.35,"3,250",-0.15,0.35,98.84,882,-163,375,
,99,-31,65,-,"3,570.00",18.40,130,"3,571.05","3,595.35",130,"20,500.00","1,29,935",0.25,0.30,"35,945",-0.30,0.30,97.47,"16,587","-5,497","6,210",
,1,-,-,-,-,-,390,"3,470.50","3,575.00",780,"20,550.00","3,250",0.25,0.35,"5,655",-0.20,0.30,96.10,941,224,470,
,1,-,-,-,-,-,780,"3,420.85","3,523.80",780,"20,600.00","2,080",0.20,0.45,455,-0.30,0.25,94.74,595,7,423,
,2,-,-,-,-,-,780,"3,375.05","3,570.65","1,690","20,650.00","1,820",0.25,0.45,260,-0.30,0.25,93.37,984,79,517,
,2,-,-,-,-,-,780,"3,320.80","3,450.75",780,"20,700.00","51,805",0.30,0.35,"16,575",-0.25,0.30,93.38,"2,533",-697,"1,560",
,1,-,-,-,-,-,390,"3,271.30","3,375.40",390,"20,750.00","1,560",0.30,0.40,"6,175",-0.35,0.30,93.19,548,124,317,
,-,-,-,64.41,-,-,780,"3,009.70","3,322.75",390,"20,800.00","36,920",0.25,0.35,"15,145",-0.45,0.25,89.29,"8,588","-1,750","2,051",
,3,-,-,-,-,-,780,"3,166.75","3,272.65",780,"20,850.00","2,340",0.30,0.40,"2,340",-0.30,0.30,90.41,"1,219",-58,473,
,3,-,-,-,-,-,780,"3,129.65","3,221.10",780,"20,900.00",65,0.35,0.40,"5,005",-0.35,0.35,89.02,"1,640",-334,751,
,2,-,-,-,-,-,780,"3,073.05","3,176.95",780,"20,950.00",975,0.35,0.40,65,-0.20,0.45,87.64,"1,243",-86,489,
,"1,993",-497,610,-,"3,075.15",21.70,65,"3,075.70","3,085.15",65,"21,000.00","4,97,120",0.35,0.40,"68,185",-0.40,0.35,86.25,"69,181","-20,296","18,086",
,3,-,-,-,-,-,780,"2,962.10","3,058.80",780,"21,050.00","4,030",0.25,0.45,390,-0.40,0.30,83.77,952,9,539,
,4,-,-,-,-,-,780,"2,925.85","3,094.80","1,690","21,100.00","98,410",0.25,0.30,"1,24,670",-0.50,0.25,82.41,"8,534","-2,093","3,618",
,4,-,-,-,-,-,780,"2,876.20","2,955.65",780,"21,150.00","2,210",0.35,0.45,"3,510",-0.20,0.45,83.92,"1,059",133,495,
,4,-,-,-,-,-,780,"2,816.35","2,931.25",715,"21,200.00","97,695",0.35,0.40,"27,170",-0.45,0.35,80.73,"10,922","-1,940","2,809",
,4,-,-,-,-,-,780,"2,777.75","2,870.70",715,"21,250.00","17,810",0.30,0.40,"7,020",-0.40,0.35,79.36,"2,512",-373,"1,101",
,4,-,-,54.25,-,-,780,"2,718.60","2,815.20","1,365","21,300.00","1,22,850",0.30,0.35,"48,620",-0.50,0.35,77.98,"14,175","-5,062","3,540",
,5,-,-,170.74,-,-,780,"2,664.05","2,779.40","1,300","21,350.00",585,0.25,0.55,"1,040",-0.35,0.45,75.61,496,-6,571,
,5,-,-,-,-,-,780,"2,623.10","2,720.50",455,"21,400.00","61,620",0.30,0.35,"37,830",-0.55,0.30,75.24,"10,594","-2,861","2,745",
,6,-,-,168.93,-,-,780,"2,563.75","2,698.35","1,690","21,450.00","29,835",0.35,0.40,"9,880",-0.50,0.35,74.74,"2,093",-130,"1,466",
,182,-6,7,-,"2,566.40",19.95,65,"2,574.85","2,584.90",195,"21,500.00","4,33,355",0.30,0.35,"1,63,605",-0.50,0.35,71.55,"78,217","-18,713","20,539",
,1,-,-,109.35,-,-,780,"2,468.15","2,563.45",780,"21,550.00","31,980",0.35,0.40,"7,475",-0.40,0.40,71.14,"2,420",-102,"1,748",
,3,-,-,-,-,-,780,"2,418.20","2,520.35",715,"21,600.00","80,210",0.30,0.35,"86,775",-0.50,0.35,68.85,"12,856","-1,581","3,841",
