CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,8,-,-,74.83,-,-,780,"3,926.25","4,060.85","1,690","20,100.00","19,69,500",0.15,0.20,"11,56,740",-0.25,0.20,106.67,"44,477","-11,865","19,205",
,1,-,-,-,-,-,780,"3,870.15","4,165.20","1,690","20,150.00","21,060",0.20,0.30,"5,395",-0.20,0.30,105.31,"1,689",-442,895,
,1,-,-,-,-,-,780,"3,820.80","3,975.80",780,"20,200.00","4,17,235",0.15,0.20,"2,46,480",-0.30,0.20,103.94,"12,734","-4,989","6,095",
,1,-,-,-,-,-,780,"3,768.80","3,935.35",780,"20,250.00","7,735",0.25,0.30,"5,135",-0.20,0.30,105.91,945,150,564,
,2,-,-,-,-,-,65,"3,731.95","3,888.10",780,"20,300.00","71,370",0.25,0.30,"7,800",-0.25,0.25,104.51,"3,693",-526,"1,073",
,1,-,-,-,-,-,780,"3,665.75","3,832.25","1,690","20,350.00","1,885",0.25,0.35,"4,030",-0.25,0.25,104.42,800,169,470,
,1,-,-,-,-,-,65,"3,624.55","3,767.90",780,"20,400.00","2,535",0.25,0.35,"1,625",-0.25,0.25,101.72,"1,188",-305,448,
,1,-,-,-,-,-,780,"3,576.50","3,767.85",780,"20,450.00",260,0.25,0.30,"8,385",-0.25,0.25,100.33,844,-170,368,
,108,-22,62,-,"3,559.90",8.30,65,"3,580.95","3,596.80",65,"20,500.00","1,53,985",0.20,0.25,"34,060",-0.40,0.20,95.81,"16,172","-5,604","6,103",
,1,-,-,-,-,-,780,"3,471.25","3,599.95","1,690","20,550.00","5,330",0.20,0.35,"3,380",-0.25,0.25,96.13,840,241,487,
,1,-,-,-,-,-,780,"3,421.05","3,554.55",780,"20,600.00","2,080",0.20,0.35,"3,380",-0.35,0.20,93.11,567,6,422,
,2,-,-,-,-,-,65,"3,376.55","3,466.65","1,690","20,650.00","1,820",0.25,0.30,"6,305",-0.30,0.25,93.40,961,83,521,
