CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,8,-,-,74.83,-,-,780,"3,918.45","4,023.65",390,"20,100.00","20,15,845",0.15,0.20,"11,26,190",-0.30,0.15,104.38,"56,034","-12,684","18,386",
,1,-,-,-,-,-,780,"3,868.40","3,971.00",390,"20,150.00",455,0.25,0.35,"2,340",-0.30,0.20,105.29,"1,742",-476,861,
,1,-,-,-,-,-,780,"3,495.85","3,957.80",780,"20,200.00","4,09,565",0.20,0.25,"1,33,315",-0.25,0.25,105.74,"14,564","-4,992","6,092",
,1,-,-,-,-,-,780,"3,767.85","3,912.05",780,"20,250.00","9,425",0.25,0.30,"6,370",-0.20,0.30,107.23,997,139,553,
,2,-,-,-,-,-,65,"3,731.65","3,866.05",780,"20,300.00","24,635",0.30,0.35,"11,050",-0.15,0.35,105.82,"4,042",-519,"1,080",
,1,-,-,-,-,-,780,"3,665.00","3,811.60",780,"20,350.00",260,0.25,0.35,"3,965",-0.15,0.35,104.41,804,165,466,
,1,-,-,-,-,-,780,"3,624.05","3,746.55",780,"20,400.00","3,770",0.25,0.40,"2,145",-0.15,0.35,100.23,"1,307",-306,447,
,1,-,-,-,-,-,780,"3,567.45","3,746.85",780,"20,450.00","2,665",0.20,0.35,"1,950",-0.15,0.35,98.85,882,-163,375,
,99,-31,65,-,"3,570.00",18.40,130,"3,572.05","3,587.80",130,"20,500.00","1,29,480",0.25,0.30,"27,560",-0.30,0.30,97.48,"16,589","-5,487","6,220",
,1,-,-,-,-,-,780,"3,470.85","3,586.30",780,"20,550.00",455,0.25,0.35,"2,340",-0.20,0.30,96.11,941,224,470,
,1,-,-,-,-,-,780,"3,420.85","3,523.65",780,"20,600.00","2,015",0.20,0.45,"1,820",-0.30,0.25,94.75,595,7,423,
,2,-,-,-,-,-,780,"3,375.05","3,460.80",780,"20,650.00","1,430",0.25,0.50,780,-0.30,0.25,93.38,984,79,517,
,2,-,-,-,-,-,780,"3,320.80","3,448.10",780,"20,700.00","51,740",0.30,0.35,"15,470",-0.20,0.35,93.39,"2,535",-698,"1,559",
,1,-,-,-,-,-,780,"3,271.75","3,365.70",780,"20,750.00","1,105",0.30,0.40,"2,405",-0.30,0.35,93.20,559,124,317,
,-,-,-,64.41,-,-,780,"3,009.65","3,311.10",780,"20,800.00","36,075",0.25,0.35,"14,495",-0.45,0.25,89.30,"8,588","-1,750","2,051",
,3,-,-,-,-,-,780,"3,165.40","3,282.35",780,"20,850.00","1,040",0.30,0.40,"1,820",-0.30,0.30,90.42,"1,219",-58,473,
,3,-,-,-,-,-,780,"3,129.65","3,220.40",780,"20,900.00","2,340",0.30,0.40,"2,600",-0.40,0.30,89.03,"1,656",-351,734,
,2,-,-,-,-,-,780,"3,072.20","3,188.00",780,"20,950.00","3,640",0.30,0.35,715,-0.30,0.35,87.64,"1,263",-93,482,
,"1,993",-497,610,-,"3,075.15",21.70,130,"3,071.30","3,082.55",65,"21,000.00","4,96,795",0.35,0.40,"1,62,110",-0.35,0.40,86.26,"69,197","-20,294","18,088",
,3,-,-,-,-,-,780,"2,962.10","3,058.80",780,"21,050.00","3,835",0.25,0.45,"1,820",-0.40,0.30,83.78,952,9,539,
,4,-,-,-,-,-,780,"2,925.85","3,023.20",390,"21,100.00","98,800",0.25,0.30,"1,31,105",-0.45,0.30,82.42,"8,536","-2,094","3,617",
,4,-,-,-,-,-,780,"2,876.20","2,955.65",780,"21,150.00","1,430",0.35,0.45,"5,395",-0.20,0.45,83.93,"1,060",131,493,
,4,-,-,-,-,-,780,"2,814.55","2,919.25","1,755","21,200.00","95,680",0.35,0.40,"27,495",-0.45,0.35,80.74,"10,922","-1,940","2,809",
,4,-,-,-,-,-,780,"2,777.85","2,876.20",910,"21,250.00","16,900",0.30,0.40,"6,695",-0.40,0.35,79.37,"2,512",-373,"1,101",
,4,-,-,54.25,-,-,65,"2,527.40","2,820.40",780,"21,300.00","1,24,020",0.30,0.35,"45,955",-0.50,0.35,77.99,"14,177","-5,074","3,528",
,5,-,-,170.74,-,-,"1,755","2,475.70","2,779.40","1,755","21,350.00",195,0.25,0.45,"4,290",-0.35,0.45,75.62,496,-6,571,
,5,-,-,-,-,-,780,"2,623.10","2,720.40","1,755","21,400.00","62,140",0.30,0.35,"38,610",-0.50,0.35,75.25,"10,595","-2,861","2,745",
,6,-,-,168.93,-,-,780,"2,571.85","2,633.20",65,"21,450.00","29,055",0.35,0.40,"8,775",-0.50,0.35,74.75,"2,093",-130,"1,466",
,182,-6,7,-,"2,566.40",19.95,65,"2,574.10","2,577.40",65,"21,500.00","4,31,990",0.30,0.35,"1,64,060",-0.55,0.30,71.56,"78,255","-18,698","20,554",
,1,-,-,109.35,-,-,780,"2,468.30","2,563.45",780,"21,550.00","33,995",0.35,0.40,"5,005",-0.40,0.40,71.14,"2,420",-102,"1,748",
,3,-,-,-,-,-,780,"2,414.85","2,520.25","1,755","21,600.00","83,200",0.30,0.35,"85,995",-0.50,0.35,68.85,"12,856","-1,581","3,841",
,2,-,-,38.18,-,-,65,"2,229.70","2,462.60",780,"21,650.00","30,875",0.40,0.45,"10,075",-0.45,0.40,69.23,"2,860",309,"1,786",
,3,-,-,-,-,-,780,"2,339.45","2,406.40",780,"21,700.00","36,595",0.35,0.40,"33,930",-0.50,0.35,67.05,"7,490","-1,856","4,298",
,2,-,-,-,-,-,780,"2,288.25","2,367.70","1,755","21,750.00","17,940",0.45,0.50,"17,615",-0.50,0.45,67.19,"3,142",406,"1,249",
,41,-,-,-,-,-,780,"2,225.65","2,313.85",325,"21,800.00","1,57,820",0.35,0.40,"1,74,915",-0.45,0.40,65.80,"14,040","-3,879","8,732",
,3,-,-,23.67,-,-,780,"2,175.50","2,264.35","1,755","21,850.00","24,115",0.45,0.50,"27,170",-0.50,0.45,64.42,"3,456",-158,"1,813",
,5,-,1,-,"2,125.00",23.05,65,"2,148.00","2,179.50",130,"21,900.00","54,600",0.40,0.45,"83,005",-0.55,0.40,62.36,"6,586",-614,"4,028",
,4,-,-,-,-,-,780,"2,082.85","2,170.55","1,755","21,950.00","36,075",0.45,0.50,"29,640",-0.55,0.45,62.26,"4,326",127,"2,112",
,"4,994",-447,"1,000",-,"2,073.00",20.10,65,"2,073.65","2,077.50",130,"22,000.00","12,95,190",0.40,0.45,"6,96,475",-0.60,0.40,60.26,"87,712","-25,683","47,362",
,14,-,-,34.37,-,-,780,"1,992.30","2,056.65",780,"22,050.00","80,600",0.45,0.50,"62,855",-0.50,0.50,59.47,"6,614",-615,"3,720",
,17,-,-,-,-,-,780,"1,926.20","2,012.10",780,"22,100.00","2,06,830",0.50,0.55,"1,63,020",-0.60,0.50,58.07,"18,934","-5,721","13,759",
,3,-,-,-,-,-,780,"1,894.20","1,961.90",780,"22,150.00","97,305",0.50,0.55,"53,105",-0.60,0.50,56.68,"11,272","-1,724","3,706",
,29,-1,5,-,"1,874.00",77.40,65,"1,866.55","1,883.85",65,"22,200.00","1,00,815",0.55,0.60,"1,60,615",-0.65,0.55,55.29,"43,731","-14,434","15,093",
,6,-,-,-,-,-,780,"1,772.75","1,872.95",780,"22,250.00","1,30,195",0.55,0.60,"31,330",-0.70,0.55,54.39,"8,715","-1,534","5,751",
,32,-2,3,-,"1,765.00",10.55,65,"1,756.15","1,789.60",65,"22,300.00","96,980",0.55,0.60,"2,32,635",-0.70,0.55,52.99,"18,144","-6,387","10,099",
,8,-,-,-,-,-,780,"1,677.90","1,756.45",780,"22,350.00","1,08,550",0.50,0.55,"18,980",-0.75,0.55,51.59,"11,892",-666,"4,322",
,216,-1,6,-,"1,656.00",2.70,65,"1,667.15","1,681.00",65,"22,400.00","3,07,710",0.55,0.60,"1,67,765",-0.80,0.55,50.18,"40,846","-3,373","12,027",
,8,-,3,-,"1,570.50",-126.55,65,"1,568.85","1,654.95",780,"22,450.00","84,240",0.60,0.65,"20,540",-0.85,0.60,49.21,"9,799",-807,"3,812",
,"3,439",-96,279,-,"1,566.60",1.70,65,"1,574.50","1,579.95",195,"22,500.00","11,19,560",0.60,0.65,"7,74,605",-0.85,0.60,48.18,"2,47,269","-44,630","81,704",
,22,-,1,-,"1,500.45",48.45,65,"1,519.55","1,539.25",65,"22,550.00","1,88,240",0.60,0.65,"1,67,700",-0.95,0.60,46.38,"44,679","2,535","10,187",
,101,-1,2,-,"1,469.50",7.55,65,"1,473.55","1,486.35",65,"22,600.00","7,44,250",0.60,0.65,"3,14,860",-1.00,0.65,44.96,"72,548","1,853","20,114",
,24,-,-,-,-,-,65,"1,419.65","1,430.15",65,"22,650.00","1,40,790",0.65,0.70,"1,38,710",-1.00,0.70,43.55,"33,961","-1,665","8,230",
,236,-23,118,-,"1,370.00",19.95,65,"1,372.50","1,378.60",65,"22,700.00","5,60,755",0.70,0.75,"3,86,620",-1.00,0.75,42.48,"1,23,852","-14,377","23,405",
,34,-,1,-,"1,240.00",-63.05,65,"1,320.95","1,329.25",65,"22,750.00","2,77,940",0.70,0.75,"2,12,290",-1.15,0.70,41.69,"45,883","2,789","13,021",
,590,-39,118,-,"1,269.40",11.35,65,"1,273.90","1,280.65",65,"22,800.00","9,13,705",0.70,0.75,"14,68,675",-1.15,0.75,40.24,"1,46,920","-11,630","36,578",
,84,-,-,50.57,-,-,65,"1,218.65","1,226.90",65,"22,850.00","4,81,130",0.75,0.80,"3,90,910",-1.20,0.80,38.79,"67,973",819,"20,854",
,487,-12,20,-,"1,161.00",11.00,65,"1,171.95","1,178.25",65,"22,900.00","11,89,045",0.75,0.80,"9,93,005",-1.25,0.80,37.61,"1,86,942","-12,112","45,393",
,281,-6,10,-,"1,066.55",-51.80,65,"1,121.35","1,127.40",130,"22,950.00","5,30,920",0.75,0.80,"4,03,065",-1.45,0.75,35.89,"79,632","5,943","23,204",
,"9,906","-1,070","2,723",-,"1,075.15",-6.80,130,"1,073.10","1,076.95",65,"23,000.00","23,86,280",0.80,0.85,"22,46,010",-1.50,0.80,34.68,"7,63,605","27,429","2,18,299",
,375,-4,27,-,"1,002.85",-11.65,65,"1,021.90","1,028.05",65,"23,050.00","6,02,420",0.85,0.90,"4,12,165",-1.60,0.85,33.67,"85,899","4,971","25,780",
,915,-607,957,-,971.70,16.25,130,972.60,975.35,65,"23,100.00","14,42,935",0.85,0.90,"13,27,365",-1.75,0.90,32.18,"2,76,391","-23,707","53,138",
,476,-5,31,35.83,930.00,15.35,65,923.05,928.05,130,"23,150.00","13,43,030",0.85,0.90,"8,92,385",-1.90,0.85,30.89,"1,51,335","6,563","47,214",
,"2,664",-223,983,-,870.80,7.60,260,873.10,876.50,65,"23,200.00","19,87,180",0.95,1.00,"20,49,710",-2.00,0.95,29.39,"3,99,726","25,963","1,11,891",
,477,-19,133,-,814.10,6.75,195,822.60,826.40,65,"23,250.00","9,14,875",1.00,1.05,"9,40,095",-2.05,1.05,28.06,"1,92,209","3,274","39,017",
,"4,676",-274,"1,090",-,773.15,13.90,130,773.45,777.10,260,"23,300.00","29,32,995",1.00,1.05,"14,06,535",-2.20,1.00,26.54,"5,33,953","43,658","1,28,965",
,"1,899",-34,346,-,716.05,7.30,195,722.35,726.15,65,"23,350.00","8,96,870",1.10,1.15,"7,28,195",-2.35,1.15,25.31,"2,70,253","22,192","66,252",
,"12,637",-683,"1,894",-,675.50,11.95,195,673.50,676.70,325,"23,400.00","16,16,745",1.15,1.20,"11,06,170",-2.75,1.20,23.77,"6,61,738","41,542","1,49,299",
,"3,248",-85,787,-,624.95,13.75,260,622.70,625.45,130,"23,450.00","12,06,140",1.15,1.20,"3,53,145",-3.25,1.15,22.34,"4,81,778","17,015","69,474",
,"30,516","-1,752","14,583",-,575.70,11.25,325,573.60,575.70,325,"23,500.00","17,66,960",1.20,1.25,"10,21,020",-3.55,1.25,21.12,"11,09,483","89,205","2,74,809",
,"2,862",-278,"2,232",-,524.40,9.10,130,523.25,525.65,65,"23,550.00","12,99,415",1.30,1.35,"8,54,035",-3.95,1.35,19.62,"4,89,667","50,011","99,161",
,"17,585","-2,548","14,231",-,474.05,15.75,455,472.85,474.15,390,"23,600.00","20,21,500",1.35,1.40,"9,53,875",-4.85,1.40,18.09,"7,71,875","47,702","1,63,752",
,"7,682",-487,"7,129",-,425.55,12.20,260,423.70,425.35,195,"23,650.00","12,60,740",1.50,1.55,"8,77,305",-5.90,1.50,16.44,"5,44,031","45,675","94,123",
,"25,529","-8,052","58,385",-,375.00,12.65,260,374.20,375.30,130,"23,700.00","15,43,165",1.65,1.70,"13,69,550",-7.45,1.70,15.16,"12,16,659","57,745","1,84,213",
,"7,627","-1,133","30,697",-,324.00,5.45,65,324.10,324.95,65,"23,750.00","13,18,785",1.95,2.00,"3,57,630",-9.80,1.95,13.94,"9,71,122","73,942","1,29,055",
,"33,152","-5,188","2,16,800",-,274.75,5.45,65,274.75,275.45,260,"23,800.00","14,92,530",2.40,2.45,"2,99,065",-13.15,2.45,12.68,"18,91,804","96,785","2,19,842",
,"10,995","1,369","2,00,098",-,225.80,1.70,130,225.70,226.30,195,"23,850.00","2,860",3.45,3.50,"1,39,555",-18.05,3.45,11.64,"18,23,415","1,01,856","1,63,765",
,"57,153","15,411","9,92,252",-,178.85,-5.60,715,178.85,179.30,130,"23,900.00","3,185",5.70,5.75,"77,480",-24.50,5.70,11.09,"36,06,348","2,33,028","3,66,815",
,"52,044","25,373","14,53,016",-,132.65,-14.05,130,132.45,132.80,845,"23,950.00","41,275",9.70,9.75,"1,560",-32.35,9.70,10.50,"37,57,987","2,63,667","3,73,902",
,"2,51,314","99,352","51,39,854",7.14,91.35,-23.95,"2,210",91.30,91.55,585,"24,000.00","10,270",18.15,18.25,"11,570",-40.70,18.25,10.33,"67,81,323","4,52,444","6,52,117",
,"2,18,048","1,67,441","52,24,947",7.60,55.85,-31.25,"2,925",55.75,55.95,"2,990","24,050.00",65,32.80,32.90,"6,695",-47.85,32.80,10.16,"38,98,660","3,37,704","3,80,152",
,"3,73,274","3,00,812","59,26,025",8.04,31.75,-33.05,"7,735",31.60,31.70,390,"24,100.00",390,58.70,58.85,910,-47.80,58.85,10.77,"25,96,924","1,71,573","2,07,414",
,"2,19,956","1,78,377","33,50,375",8.36,15.95,-31.05,"10,920",15.95,16.00,"1,885","24,150.00",975,93.35,93.60,585,-44.65,93.95,11.53,"6,22,200","40,097","50,255",
,"3,12,638","1,94,851","38,98,896",8.86,8.00,-25.30,"46,735",7.95,8.00,"23,010","24,200.00",260,136.25,136.60,390,-37.80,136.60,12.82,"5,28,653","26,334","47,619",
,"1,37,319","97,581","19,15,811",9.35,3.95,-19.60,"23,400",3.95,4.00,"96,785","24,250.00",195,181.55,182.05,390,-31.80,182.45,14.56,"98,191","6,819","10,443",
,"1,96,422","73,210","25,55,015",10.09,2.20,-14.15,"1,54,765",2.15,2.20,"3,05,630","24,300.00",65,230.35,231.00,195,-27.05,230.70,16.80,"1,04,102","13,049","25,815",
,"89,529","53,203","15,99,184",10.89,1.30,-10.70,"13,44,525",1.25,1.30,"5,67,905","24,350.00",325,278.65,279.45,130,-27.25,279.25,18.90,"15,265","1,785","3,322",
,"1,66,799","20,982","10,71,394",12.21,1.00,-8.15,"27,86,420",1.00,1.05,"22,96,515","24,400.00",130,328.80,329.80,195,-22.25,330.25,20.97,"19,638","2,470","9,879",
,"46,321","7,263","3,78,426",13.28,0.85,-6.00,"17,40,180",0.80,0.85,"8,55,400","24,450.00",130,377.70,379.10,325,-18.50,381.05,22.59,"2,251",477,"1,325",
,"2,23,383","51,544","9,40,690",14.66,0.80,-4.70,"32,59,685",0.75,0.80,"38,13,095","24,500.00",195,427.70,428.95,130,-20.45,428.05,25.09,"15,243","-1,322","24,196",
,"48,379","19,201","3,43,514",16.00,0.70,-3.55,"13,85,020",0.70,0.75,"4,67,545","24,550.00",260,476.70,479.25,390,-20.45,479.20,26.79,641,193,569,
,"1,02,241","39,605","4,79,449",17.12,0.65,-2.75,"19,00,080",0.65,0.70,"33,93,845","24,600.00",195,528.15,530.05,130,-7.25,533.00,28.88,"8,492","-1,736","10,700",
,"48,252","20,595","2,44,886",18.54,0.65,-2.25,"16,30,135",0.60,0.65,"21,05,350","24,650.00",65,577.90,580.15,65,-7.95,583.20,31.82,"1,416",534,843,
,"79,885","19,015","3,52,446",19.93,0.55,-1.80,"23,65,870",0.55,0.60,"31,77,720","24,700.00",260,627.40,630.70,260,-4.90,630.65,32.73,"1,572",-521,"1,574",
,"39,249","11,063","1,99,905",21.32,0.65,-1.30,"8,70,350",0.60,0.65,"10,72,630","24,750.00",65,677.30,681.40,65,-19.95,681.60,34.35,81,10,246,
,"83,904","21,469","2,56,521",22.47,0.55,-1.20,"19,34,075",0.55,0.60,"12,84,855","24,800.00",65,728.15,731.70,65,-2.55,733.00,36.72,719,-149,"2,254",
,"20,355","3,257","98,779",23.82,0.50,-1.00,"11,84,365",0.50,0.55,"3,58,345","24,850.00",65,776.90,781.35,65,-18.90,782.05,26.31,155,1,182,
,"41,211","4,163","1,59,990",24.89,0.55,-0.85,"10,25,245",0.50,0.55,"25,57,555","24,900.00",65,828.55,831.80,65,-13.50,832.55,41.61,231,-67,886,
,"23,979","7,299","97,249",25.92,0.50,-0.75,"4,81,130",0.50,0.55,"9,11,755","24,950.00",65,874.80,882.10,130,-14.00,882.65,43.51,26,-2,81,
,"1,79,883","-7,528","4,80,857",27.21,0.50,-0.75,"21,34,405",0.50,0.55,"33,62,775","25,000.00",195,928.40,932.20,195,-18.80,930.00,45.76,"4,524","-1,130","11,940",
,"21,821","5,028","58,656",28.16,0.50,-0.60,"4,89,450",0.45,0.50,"2,83,530","25,050.00",65,974.35,983.10,65,-243.55,986.45,45.93,27,7,39,
,"32,422","-6,037","88,792",29.78,0.45,-0.60,"9,95,280",0.45,0.50,"17,07,095","25,100.00",65,"1,023.45","1,032.65",65,-26.85,"1,036.75",49.33,56,-27,686,
,"15,232","-2,923","33,918",30.68,0.45,-0.55,"3,95,915",0.40,0.45,"3,50,415","25,150.00",65,"1,064.20","1,094.90",65,-55.95,"1,098.70",58.56,4,1,9,
,"43,268","-9,613","94,657",31.93,0.40,-0.55,"13,40,885",0.40,0.45,"22,21,765","25,200.00",65,"1,127.55","1,133.50",65,-6.50,"1,144.80",58.36,73,-33,504,
,"15,016","-1,187","28,804",33.57,0.40,-0.50,"2,75,275",0.40,0.45,"2,94,450","25,250.00",65,"1,163.75","1,203.40",65,-81.10,"1,200.15",63.37,4,1,25,
,"29,927","-7,095","71,105",34.42,0.45,-0.45,"7,38,530",0.40,0.45,"5,53,020","25,300.00",65,"1,227.95","1,234.50",65,-33.50,"1,229.70",57.61,233,-91,365,
,"4,884","-1,869","9,661",35.65,0.45,-0.35,"93,210",0.40,0.45,"69,680","25,350.00",65,"1,263.75","1,295.15",65,-71.35,"1,300.00",67.25,3,-,5,
,"13,564","-3,798","15,346",36.87,0.40,-0.35,"7,67,585",0.35,0.40,"2,44,075","25,400.00",65,"1,329.10","1,334.10",325,-31.20,"1,334.30",43.26,42,-9,120,
,"6,902",12,"5,317",38.09,0.40,-0.40,"1,78,425",0.35,0.40,"10,010","25,450.00",65,"1,375.25","1,409.50",780,-,-,64.45,-,-,7,
,"81,004","-12,663","1,06,894",38.80,0.40,-0.35,"17,32,315",0.35,0.40,"15,03,125","25,500.00",65,"1,428.70","1,433.90",715,-19.95,"1,432.90",64.91,"1,289",-97,"9,387",
,"4,098",471,"18,126",40.51,0.35,-0.35,"1,18,235",0.35,0.40,"16,445","25,550.00",65,"1,461.05","1,496.20",65,-70.00,"1,500.00",75.01,5,-1,12,
,"11,273","-2,132","17,597",41.18,0.35,-0.30,"1,96,820",0.35,0.40,"2,08,975","25,600.00",65,"1,524.75","1,532.00",65,-34.40,"1,528.00",70.03,80,-52,103,
,"1,955",-432,"2,576",43.39,0.35,-0.35,"31,265",0.35,0.40,"9,620","25,650.00",65,"1,571.70","1,596.55",65,-58.00,"1,600.00",78.80,2,-,7,
,"5,587","-1,135","8,168",43.54,0.35,-0.25,"1,58,210",0.30,0.35,"1,09,525","25,700.00",65,"1,621.15","1,636.60",65,-25.75,"1,633.75",-,52,-32,70,
,"1,400",-177,"1,377",44.71,0.40,-0.25,"43,420",0.35,0.40,"8,775","25,750.00",65,"1,631.85","1,703.95",780,-,-,119.12,-,-,11,
,"5,597","-2,930","15,644",45.88,0.35,-0.25,"1,47,550",0.35,0.40,"3,49,830","25,800.00",65,"1,722.85","1,734.20",65,-38.45,"1,729.00",65.30,59,-34,92,
,"2,915",288,"4,845",47.04,0.45,-0.25,"75,855",0.40,0.45,"44,720","25,850.00",65,"1,762.80","1,816.05",780,-,-,94.52,-,-,20,
,"4,034",-514,"8,163",47.53,0.40,-0.20,"75,400",0.35,0.40,"74,035","25,900.00",65,"1,810.70","1,838.70",65,21.85,"1,851.00",88.74,11,-4,34,
,"1,498",-140,"2,549",49.96,0.40,-0.15,"40,755",0.35,0.40,"7,280","25,950.00",780,"1,847.15","1,914.20",780,-,-,111.09,-,-,10,
,"42,766","-3,271","40,019",50.50,0.40,-0.20,"6,36,155",0.35,0.40,"7,08,175","26,000.00",65,"1,931.85","1,933.15",65,-22.10,"1,934.00",82.62,"2,636",-69,"11,814",
,"1,354",597,"1,811",51.64,0.40,-0.15,"17,095",0.35,0.40,"2,535","26,050.00",780,"1,946.55","2,014.05",780,-,-,110.28,-,-,11,
,"1,848",200,"3,936",52.78,0.40,-0.20,"67,730",0.35,0.40,"5,850","26,100.00",65,"2,028.00","2,048.30",65,-23.55,"2,026.00",68.72,17,-5,85,
,"1,560",640,"3,286",54.57,0.40,-0.15,"18,005",0.35,0.40,"6,630","26,150.00",780,"2,044.55","2,127.65","1,105",-,-,15.48,-,-,8,
,"4,067","-1,230","10,748",54.30,0.30,-0.25,"1,01,465",0.25,0.30,"14,820","26,200.00",65,"2,130.85","2,136.10",65,-0.10,"2,137.70",91.72,166,-5,832,
,449,70,550,56.17,0.35,-0.10,"2,405",0.35,0.45,845,"26,250.00",780,"2,148.30","2,206.05",780,-,-,13.40,-,-,4,
,"1,893",-522,"4,215",57.29,0.35,-0.15,"42,575",0.35,0.40,"30,615","26,300.00",65,"2,203.60","2,237.55",65,45.85,"2,243.70",97.37,89,-66,223,
,816,433,"7,085",59.11,0.35,-0.05,"4,745",0.35,0.40,"10,140","26,350.00",65,"2,254.70","2,299.25",65,-264.35,"2,290.00",95.69,2,-1,13,
,"1,005",-26,"2,298",59.52,0.35,-0.15,"14,755",0.30,0.35,"18,070","26,400.00","1,170","2,200.00","2,363.30",65,-36.55,"2,321.00",-,6,-4,117,
,"1,057",302,"1,276",60.63,0.35,-0.10,"14,950",0.30,0.35,455,"26,450.00",780,"2,350.20","2,400.80",845,-,-,-,-,-,4,
,"11,861","-1,179","9,910",60.91,0.30,-0.10,"2,41,085",0.25,0.30,"1,27,010","26,500.00",65,"2,431.40","2,434.75",65,-15.65,"2,437.75",102.53,395,-,"3,200",
,527,180,743,62.84,0.30,-0.10,"3,120",0.30,0.40,455,"26,550.00",780,"2,326.70","2,547.35",780,-,-,-,-,-,4,
,811,-402,"2,300",63.09,0.35,-,"2,535",0.30,0.35,195,"26,600.00",780,"2,494.45","2,551.60",780,-104.00,"2,530.00",102.80,26,-2,24,
,737,10,"1,220",64.17,0.35,-,"5,265",0.30,0.35,"1,820","26,650.00",780,"2,443.70","2,627.60",780,-,-,-,-,-,2,
,"1,183",110,"2,257",65.25,0.30,-0.05,"44,135",0.25,0.30,"16,900","26,700.00",65,"2,624.80","2,643.10",65,-109.25,"2,626.25",-,8,-1,41,
,276,49,375,66.32,0.30,-0.05,"3,575",0.30,0.35,"7,800","26,750.00",780,"2,557.30","2,723.00",780,-,-,-,-,-,2,
,772,-110,"1,101",67.39,0.35,-,"2,210",0.30,0.35,"1,755","26,800.00",65,"2,718.50","2,741.05",130,19.15,"2,735.55",105.10,29,-19,39,
,586,-119,"1,090",67.43,0.30,-0.10,"3,640",0.30,0.35,975,"26,850.00",780,"2,634.00","2,832.35",780,-,-,-,-,-,3,
,711,-70,"1,431",70.44,0.30,-0.05,"3,510",0.30,0.35,390,"26,900.00",780,"2,791.50","2,882.00",780,-,-,50.69,-,-,2,
,680,-58,833,70.59,0.35,-0.10,130,0.35,0.40,650,"26,950.00",780,"2,849.55","2,937.20",780,-,-,-,-,-,1,
,"14,450",955,"14,145",70.57,0.25,-0.15,"4,39,660",0.20,0.25,"1,61,525","27,000.00",65,"2,935.05","2,937.10",65,-16.50,"2,940.00",119.64,717,-293,"4,512",
,688,-6,839,71.61,0.30,-0.10,"3,445",0.30,0.40,"4,745","27,050.00",780,"2,852.80","3,047.45",780,-,-,-,-,-,1,
,"1,270",177,"2,014",72.65,0.30,-0.10,"15,990",0.30,0.35,"3,445","27,100.00",65,"3,003.60","3,050.30",65,5.00,"3,080.00",150.16,1,-,43,
,630,49,491,73.68,0.30,-0.10,"2,210",0.30,0.40,"2,600","27,150.00",780,"3,037.10","3,135.20",780,-,-,-,-,-,1,
,"3,465",2,"4,087",74.71,0.25,-0.10,"1,82,520",0.20,0.25,"41,600","27,200.00",65,"3,104.85","3,151.05",65,-28.20,"3,130.00",108.43,34,-10,75,
,"3,484","-1,365","8,295",75.74,0.30,-0.20,"74,555",0.25,0.30,"16,900","27,250.00",780,"3,002.85","3,250.45",780,-,-,-,-,-,96,
