CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,8,-,-,74.83,-,-,780,"3,915.20","4,010.75",650,"20,100.00","20,42,885",0.15,0.20,"10,29,795",-0.25,0.20,104.38,"55,809","-12,731","18,339",
,1,-,-,-,-,-,65,"3,863.35","3,963.00",780,"20,150.00","4,160",0.25,0.35,"3,575",-0.30,0.20,105.29,"1,741",-475,862,
,1,-,-,-,-,-,780,"3,778.95","3,918.05",780,"20,200.00","3,58,475",0.20,0.25,"1,32,795",-0.30,0.20,105.74,"14,552","-4,975","6,109",
,1,-,-,-,-,-,65,"3,768.15","3,917.95",780,"20,250.00","1,495",0.30,0.35,"3,640",-0.15,0.35,107.23,981,139,553,
,2,-,-,-,-,-,65,"3,677.50","3,871.90",780,"20,300.00","26,715",0.30,0.35,"11,635",-0.15,0.35,105.82,"4,042",-519,"1,080",
,1,-,-,-,-,-,780,"3,665.00","3,818.25",780,"20,350.00","2,600",0.25,0.35,"4,160",-0.15,0.35,104.41,804,165,466,
,1,-,-,-,-,-,65,"3,624.45","3,752.95",780,"20,400.00","3,770",0.30,0.35,975,-0.20,0.30,100.23,"1,305",-306,447,
,1,-,-,-,-,-,65,"3,567.85","3,750.10",780,"20,450.00","5,395",0.25,0.35,"2,925",-0.20,0.30,98.85,880,-163,375,
,99,-31,65,-,"3,570.00",18.40,130,"3,566.25","3,582.80",130,"20,500.00","1,39,815",0.25,0.30,"25,220",-0.30,0.30,97.48,"16,516","-5,566","6,141",
,1,-,-,-,-,-,780,"3,471.45","3,586.70",780,"20,550.00",845,0.30,0.35,"3,900",-0.15,0.35,96.11,925,225,471,
,1,-,-,-,-,-,780,"3,422.25","3,536.50",780,"20,600.00","2,665",0.20,0.45,"1,755",-0.30,0.25,94.75,595,7,423,
,2,-,-,-,-,-,780,"3,375.55","3,460.80",780,"20,650.00","2,080",0.25,0.45,650,-0.30,0.25,93.38,984,79,517,
,2,-,-,-,-,-,780,"3,319.10","3,455.10",780,"20,700.00","52,520",0.30,0.35,"10,855",-0.20,0.35,93.39,"2,532",-698,"1,559",
,1,-,-,-,-,-,780,"3,272.45","3,365.70",780,"20,750.00","2,210",0.30,0.40,"3,900",-0.20,0.45,93.20,536,126,319,
,-,-,-,64.41,-,-,780,"3,009.30","3,311.10",780,"20,800.00","59,085",0.25,0.35,"17,550",-0.40,0.30,89.30,"8,582","-1,773","2,028",
