CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,8,-,-,74.83,-,-,780,"3,907.75","4,010.50",780,"20,100.00","20,17,665",0.15,0.20,"11,48,355",-0.30,0.15,106.92,"55,539","-12,677","18,393",
,1,-,-,-,-,-,390,"3,863.30","3,963.00",780,"20,150.00","20,930",0.20,0.35,"3,250",-0.30,0.20,108.97,"1,740",-474,863,
,1,-,-,-,-,-,780,"3,777.50","3,918.05",780,"20,200.00","3,06,280",0.20,0.25,"1,57,690",-0.25,0.25,104.19,"14,528","-4,976","6,108",
,1,-,-,-,-,-,65,"3,519.20","3,920.65",780,"20,250.00","2,340",0.30,0.35,325,-0.15,0.35,104.63,981,139,553,
,2,-,-,-,-,-,780,"3,677.45","3,873.30",780,"20,300.00","26,650",0.30,0.35,"11,830",-0.15,0.35,104.77,"4,042",-519,"1,080",
,1,-,-,-,-,-,780,"3,664.70","3,820.95",780,"20,350.00","3,120",0.25,0.35,"3,185",-0.15,0.35,101.87,804,165,466,
,1,-,-,-,-,-,390,"3,614.35","3,754.55",780,"20,400.00","2,860",0.25,0.35,65,-0.25,0.25,100.50,"1,304",-309,444,
,1,-,-,-,-,-,780,"3,567.35","3,753.00",780,"20,450.00","3,770",0.20,0.35,520,-0.25,0.25,99.13,877,-168,370,
,99,-31,65,-,"3,570.00",18.40,130,"3,559.60","3,576.40",195,"20,500.00","1,05,235",0.25,0.30,"33,280",-0.35,0.25,97.76,"16,473","-5,564","6,143",
,1,-,-,-,-,-,780,"3,470.95","3,588.80",780,"20,550.00","2,470",0.30,0.35,"1,300",-0.25,0.25,99.07,923,240,486,
,1,-,-,-,-,-,780,"3,420.85","3,539.00",780,"20,600.00","3,055",0.20,0.45,"1,300",-0.30,0.25,95.02,595,7,423,
,2,-,-,-,-,-,390,"3,364.95","3,460.80",780,"20,650.00","2,470",0.25,0.45,260,-0.30,0.25,93.66,984,79,517,
,2,-,-,-,-,-,780,"3,318.80","3,457.40",780,"20,700.00","54,535",0.30,0.35,"12,870",-0.25,0.30,92.29,"2,496",-689,"1,568",
,1,-,-,-,-,-,780,"3,271.75","3,365.70",780,"20,750.00","1,235",0.35,0.40,65,-0.30,0.35,92.29,531,142,335,
,-,-,-,64.41,-,-,780,"3,009.30","3,311.10",780,"20,800.00","56,160",0.25,0.30,"31,590",-0.45,0.25,89.57,"8,538","-1,780","2,021",
,3,-,-,-,-,-,780,"3,165.40","3,283.65",780,"20,850.00","5,460",0.30,0.35,65,-0.25,0.35,89.54,"1,196",-46,485,
,3,-,-,-,-,-,780,"3,129.65","3,232.40",780,"20,900.00","3,575",0.30,0.35,65,-0.35,0.35,88.17,"1,569",-357,728,
,2,-,-,-,-,-,780,"3,072.20","3,211.50",780,"20,950.00","6,045",0.25,0.45,65,-0.30,0.35,87.93,"1,214",-84,491,
,"1,993",-497,610,-,"3,075.15",21.70,65,"3,065.00","3,070.10",65,"21,000.00","3,61,855",0.35,0.40,"28,470",-0.40,0.35,84.16,"67,251","-19,428","18,954",
,3,-,-,-,-,-,780,"2,974.40","3,058.80",780,"21,050.00","5,135",0.30,0.40,260,-0.30,0.40,84.06,942,11,541,
,4,-,-,-,-,-,780,"2,925.85","3,001.15",780,"21,100.00","1,01,205",0.25,0.30,"1,31,495",-0.50,0.25,81.46,"8,379","-2,069","3,642",
,4,-,-,-,-,-,780,"2,876.20","2,955.65",780,"21,150.00","1,690",0.35,0.45,"5,135",-0.20,0.45,81.34,799,25,387,
,4,-,-,-,-,-,780,"2,815.55","2,893.15",780,"21,200.00","92,105",0.35,0.40,"10,790",-0.45,0.35,79.97,"10,227","-1,770","2,979",
,4,-,-,-,-,-,780,"2,777.75","2,842.70",780,"21,250.00","26,130",0.30,0.35,"1,495",-0.45,0.30,77.43,"2,500",-366,"1,108",
,4,-,-,54.25,-,-,780,"2,716.45","2,819.20",780,"21,300.00","1,21,485",0.30,0.35,"27,950",-0.55,0.30,77.26,"14,140","-5,042","3,560",
,5,-,-,170.74,-,-,780,"2,664.70","2,744.65",780,"21,350.00",65,0.35,0.45,"1,755",-0.45,0.35,75.90,495,-6,571,
,5,-,-,-,-,-,780,"2,623.10","2,696.25",780,"21,400.00","62,400",0.30,0.35,"39,715",-0.55,0.30,74.55,"10,572","-2,848","2,758",
,6,-,-,168.93,-,-,780,"2,562.40","2,698.75","1,690","21,450.00","30,420",0.35,0.40,"5,720",-0.45,0.40,74.17,"2,084",-129,"1,467",
,182,-6,7,-,"2,566.40",19.95,65,"2,564.35","2,568.60",65,"21,500.00","4,34,460",0.30,0.35,"2,19,960",-0.55,0.30,71.84,"78,072","-18,677","20,575",
,1,-,-,109.35,-,-,780,"2,468.15","2,563.45",780,"21,550.00","31,460",0.35,0.40,"14,950",-0.45,0.35,71.43,"2,412",-105,"1,745",
,3,-,-,-,-,-,780,"2,414.70","2,495.20",780,"21,600.00","83,070",0.30,0.35,"92,040",-0.55,0.30,70.07,"12,832","-1,568","3,854",
,2,-,-,38.18,-,-,780,"2,338.00","2,463.90","2,535","21,650.00","30,420",0.40,0.45,"8,515",-0.45,0.40,68.70,"2,855",310,"1,787",
,3,-,-,-,-,-,390,"2,316.90","2,417.15",780,"21,700.00","37,960",0.35,0.40,"85,670",-0.50,0.35,67.34,"7,459","-1,856","4,298",
,2,-,-,-,-,-,390,"2,268.55","2,343.95",780,"21,750.00","18,395",0.45,0.50,"16,380",-0.50,0.45,67.49,"3,142",406,"1,249",
,41,-,-,-,-,-,780,"2,218.00","2,309.40",780,"21,800.00","1,70,885",0.40,0.45,"1,14,855",-0.40,0.45,65.40,"13,760","-3,814","8,797",
