CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,8,-,-,74.83,-,-,780,"3,920.60","4,060.85","1,690","20,100.00","20,16,430",0.15,0.20,"10,31,615",-0.25,0.20,104.37,"55,831","-12,681","18,389",
,1,-,-,-,-,-,780,"3,869.65","4,152.45","1,690","20,150.00","19,500",0.20,0.35,"2,665",-0.30,0.20,105.28,"1,741",-475,862,
,1,-,-,-,-,-,780,"3,788.15","3,961.80",780,"20,200.00","4,09,500",0.20,0.25,"1,37,280",-0.30,0.20,105.73,"14,554","-4,992","6,092",
,1,-,-,-,-,-,780,"3,769.70","3,915.95",780,"20,250.00",455,0.30,0.35,"4,355",-0.15,0.35,107.22,981,139,553,
,2,-,-,-,-,-,65,"3,717.35","3,869.75","1,690","20,300.00","23,920",0.30,0.35,"12,415",-0.15,0.35,105.81,"4,042",-519,"1,080",
,1,-,-,-,-,-,780,"3,666.90","3,816.25",780,"20,350.00",195,0.25,0.35,"5,005",-0.15,0.35,104.40,804,165,466,
,1,-,-,-,-,-,780,"3,625.90","3,750.95",780,"20,400.00","1,495",0.25,0.35,"2,925",-0.20,0.30,100.22,"1,305",-306,447,
,1,-,-,-,-,-,780,"3,569.80","3,672.20",780,"20,450.00","5,265",0.20,0.35,"5,005",-0.15,0.35,98.84,882,-163,375,
,99,-31,65,-,"3,570.00",18.40,65,"3,573.25","3,592.50",130,"20,500.00","1,29,415",0.25,0.30,"37,245",-0.30,0.30,97.47,"16,576","-5,497","6,210",
,1,-,-,-,-,-,780,"3,473.55","3,586.40",780,"20,550.00",260,0.30,0.35,"5,265",-0.15,0.35,96.10,925,225,471,
,1,-,-,-,-,-,780,"3,425.10","3,535.50",780,"20,600.00","1,820",0.20,0.45,"2,015",-0.30,0.25,94.74,595,7,423,
,2,-,-,-,-,-,780,"3,376.75","3,460.80",780,"20,650.00","1,365",0.25,0.45,715,-0.30,0.25,93.37,984,79,517,
,2,-,-,-,-,-,780,"3,319.90","3,453.00",780,"20,700.00","50,960",0.30,0.35,"16,185",-0.25,0.30,93.38,"2,533",-697,"1,560",
,1,-,-,-,-,-,780,"3,273.85","3,365.70",780,"20,750.00",715,0.30,0.40,"5,265",-0.20,0.45,93.19,536,126,319,
,-,-,-,64.41,-,-,780,"3,009.30","3,311.10",780,"20,800.00","36,335",0.25,0.35,"14,430",-0.40,0.30,89.29,"8,582","-1,773","2,028",
,3,-,-,-,-,-,780,"3,166.75","3,272.65",780,"20,850.00",910,0.30,0.40,"2,925",-0.30,0.30,90.41,"1,217",-59,472,
,3,-,-,-,-,-,780,"3,131.55","3,220.85",780,"20,900.00","1,560",0.30,0.40,"4,745",-0.30,0.40,89.02,"1,586",-358,727,
,2,-,-,-,-,-,780,"3,074.00","3,206.30",780,"20,950.00",650,0.40,0.45,"1,950",-0.30,0.35,87.64,"1,214",-84,491,
,"1,993",-497,610,-,"3,075.15",21.70,130,"3,073.05","3,080.35",65,"21,000.00","2,95,360",0.40,0.45,"2,03,840",-0.35,0.40,86.25,"68,485","-20,298","18,084",
,3,-,-,-,-,-,780,"2,974.50","3,058.80",780,"21,050.00","3,705",0.25,0.45,715,-0.40,0.30,83.77,952,9,539,
,4,-,-,-,-,-,780,"2,926.65","3,020.40",390,"21,100.00","1,00,425",0.25,0.30,"1,29,025",-0.45,0.30,82.41,"8,473","-2,076","3,635",
,4,-,-,-,-,-,780,"2,876.40","2,955.65",780,"21,150.00",650,0.35,0.45,"1,430",-0.30,0.35,83.92,"1,002",23,385,
,4,-,-,-,-,-,780,"2,816.45","2,931.25","1,755","21,200.00","95,030",0.35,0.40,"5,590",-0.40,0.40,80.73,"10,497","-1,848","2,901",
,4,-,-,-,-,-,780,"2,780.50","2,842.55",65,"21,250.00","17,680",0.30,0.40,"7,540",-0.40,0.35,79.36,"2,512",-373,"1,101",
,4,-,-,54.25,-,-,780,"2,720.90","2,796.30",65,"21,300.00","1,19,535",0.30,0.35,"47,255",-0.50,0.35,77.98,"14,163","-5,046","3,556",
,5,-,-,170.74,-,-,780,"2,669.25","2,744.25",65,"21,350.00",130,0.25,0.55,"1,690",-0.35,0.45,75.61,496,-6,571,
,5,-,-,-,-,-,780,"2,624.05","2,720.45",65,"21,400.00","60,970",0.30,0.35,"38,805",-0.50,0.35,75.24,"10,585","-2,848","2,758",
,6,-,-,168.93,-,-,780,"2,563.85","2,698.35","1,690","21,450.00","29,445",0.35,0.40,"8,645",-0.45,0.40,74.74,"2,091",-129,"1,467",
,182,-6,7,-,"2,566.40",19.95,65,"2,573.40","2,578.05",65,"21,500.00","4,29,715",0.30,0.35,"1,67,050",-0.50,0.35,71.55,"78,191","-18,692","20,560",
,1,-,-,109.35,-,-,780,"2,469.65","2,563.30",780,"21,550.00","31,590",0.35,0.40,"11,310",-0.40,0.40,71.14,"2,416",-106,"1,744",
,3,-,-,-,-,-,780,"2,418.75","2,495.00",65,"21,600.00","80,405",0.30,0.35,"93,080",-0.50,0.35,68.85,"12,851","-1,568","3,854",
,2,-,-,38.18,-,-,780,"2,375.70","2,446.95",780,"21,650.00","29,965",0.40,0.45,"11,310",-0.45,0.40,69.22,"2,860",309,"1,786",
,3,-,-,-,-,-,780,"2,340.15","2,399.05",780,"21,700.00","35,750",0.35,0.40,"31,005",-0.45,0.40,67.04,"7,475","-1,856","4,298",
,2,-,-,-,-,-,780,"2,290.65","2,340.45",65,"21,750.00","17,940",0.45,0.50,"18,395",-0.50,0.45,67.18,"3,142",406,"1,249",
