CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,8,-,-,74.83,-,-,780,"3,922.75","4,060.85","1,690","20,100.00","20,16,235",0.15,0.20,"10,27,585",-0.30,0.15,104.37,"56,033","-12,681","18,389",
,1,-,-,-,-,-,780,"3,871.40","4,150.75","1,690","20,150.00","19,435",0.20,0.35,"4,030",-0.30,0.20,105.28,"1,742",-476,861,
,1,-,-,-,-,-,65,"3,791.85","3,960.80",780,"20,200.00","4,09,500",0.20,0.25,"1,36,630",-0.25,0.25,105.73,"14,564","-4,992","6,092",
,1,-,-,-,-,-,780,"3,770.70","3,914.75",780,"20,250.00",455,0.30,0.35,"4,875",-0.15,0.35,107.22,981,139,553,
,2,-,-,-,-,-,65,"3,717.35","3,868.45",780,"20,300.00","24,050",0.30,0.35,"12,545",-0.15,0.35,105.81,"4,042",-519,"1,080",
,1,-,-,-,-,-,780,"3,667.50","3,814.95",780,"20,350.00",195,0.25,0.35,"5,005",-0.15,0.35,104.40,804,165,466,
,1,-,-,-,-,-,780,"3,626.30","3,749.95",780,"20,400.00","3,575",0.25,0.35,"3,965",-0.15,0.35,100.22,"1,306",-305,448,
,1,-,-,-,-,-,780,"3,570.10","3,672.20",780,"20,450.00","3,315",0.20,0.35,"6,045",-0.15,0.35,98.84,882,-163,375,
,99,-31,65,-,"3,570.00",18.40,130,"3,553.40","3,592.50",65,"20,500.00","1,29,415",0.25,0.30,"35,815",-0.30,0.30,97.47,"16,587","-5,497","6,210",
,1,-,-,-,-,-,780,"3,473.85","3,575.00",780,"20,550.00","1,495",0.25,0.35,"6,500",-0.20,0.30,96.10,941,224,470,
,1,-,-,-,-,-,780,"3,425.60","3,535.50",780,"20,600.00","1,820",0.20,0.45,715,-0.30,0.25,94.74,595,7,423,
,2,-,-,-,-,-,780,"3,377.70","3,477.70",390,"20,650.00","1,365",0.25,0.45,715,-0.30,0.25,93.37,984,79,517,
,2,-,-,-,-,-,780,"3,320.90","3,451.80",780,"20,700.00","51,220",0.30,0.35,"16,965",-0.25,0.30,93.38,"2,533",-697,"1,560",
,1,-,-,-,-,-,780,"3,274.25","3,365.70",780,"20,750.00",975,0.30,0.40,"7,475",-0.30,0.35,93.19,547,129,322,
,-,-,-,64.41,-,-,780,"3,009.95","3,311.10",780,"20,800.00","36,465",0.25,0.35,"13,650",-0.35,0.35,89.29,"8,587","-1,753","2,048",
,3,-,-,-,-,-,780,"3,167.15","3,272.65",780,"20,850.00","1,690",0.30,0.40,"2,665",-0.30,0.30,90.41,"1,219",-58,473,
,3,-,-,-,-,-,780,"3,132.25","3,231.50",780,"20,900.00",325,0.30,0.35,"2,340",-0.40,0.30,89.02,"1,626",-334,751,
,2,-,-,-,-,-,780,"3,074.80","3,176.95",780,"20,950.00",520,0.40,0.45,"5,720",-0.20,0.45,87.64,"1,235",-86,489,
,"1,993",-497,610,-,"3,075.15",21.70,130,"3,072.50","3,083.40",130,"21,000.00","5,03,230",0.35,0.40,"63,245",-0.40,0.35,86.25,"69,170","-20,296","18,086",
,3,-,-,-,-,-,780,"2,974.50","3,058.80",780,"21,050.00","3,705",0.25,0.45,715,-0.40,0.30,83.77,952,9,539,
,4,-,-,-,-,-,780,"2,927.35","3,094.80","1,690","21,100.00","98,020",0.25,0.30,"1,24,930",-0.45,0.30,82.41,"8,533","-2,077","3,634",
,4,-,-,-,-,-,780,"2,876.75","2,955.55",780,"21,150.00",650,0.35,0.45,"3,380",-0.40,0.25,83.92,"1,057",187,549,
,4,-,-,-,-,-,780,"2,816.65","2,931.25","1,755","21,200.00","43,420",0.40,0.45,"28,275",-0.40,0.40,80.73,"10,604","-1,940","2,809",
,4,-,-,-,-,-,780,"2,781.35","2,842.55",65,"21,250.00","17,680",0.30,0.40,"7,865",-0.40,0.35,79.36,"2,512",-373,"1,101",
,4,-,-,54.25,-,-,780,"2,722.80","2,796.30",65,"21,300.00","1,24,345",0.30,0.35,"45,825",-0.50,0.35,77.98,"14,175","-5,062","3,540",
,5,-,-,170.74,-,-,780,"2,670.70","2,744.25",65,"21,350.00",130,0.25,0.55,"1,690",-0.35,0.45,75.61,496,-6,571,
,5,-,-,-,-,-,780,"2,624.35","2,719.10","1,755","21,400.00","59,280",0.30,0.35,"39,780",-0.55,0.30,75.24,"10,594","-2,861","2,745",
,6,-,-,168.93,-,-,780,"2,564.25","2,698.35","1,690","21,450.00","27,625",0.35,0.40,"9,685",-0.50,0.35,74.74,"2,093",-130,"1,466",
,182,-6,7,-,"2,566.40",19.95,65,"2,566.85","2,583.35",130,"21,500.00","4,31,015",0.30,0.35,"1,64,515",-0.50,0.35,71.55,"78,217","-18,713","20,539",
,1,-,-,109.35,-,-,780,"2,469.75","2,563.30",780,"21,550.00","31,330",0.35,0.40,"10,985",-0.40,0.40,71.14,"2,420",-102,"1,748",
,3,-,-,-,-,-,780,"2,419.35","2,495.00",65,"21,600.00","83,200",0.30,0.35,"95,420",-0.50,0.35,68.85,"12,856","-1,581","3,841",
,2,-,-,38.18,-,-,780,"2,378.30","2,446.55",65,"21,650.00","31,330",0.40,0.45,"12,350",-0.45,0.40,69.22,"2,860",309,"1,786",
,3,-,-,-,-,-,780,"2,341.35","2,398.80",65,"21,700.00","35,035",0.35,0.40,"37,830",-0.50,0.35,67.04,"7,489","-1,856","4,298",
,2,-,-,-,-,-,780,"2,291.65","2,340.45",65,"21,750.00","19,305",0.45,0.50,"16,055",-0.50,0.45,67.18,"3,142",406,"1,249",
,41,-,-,-,-,-,65,"2,248.85","2,286.55",65,"21,800.00","1,43,585",0.40,0.45,"1,43,585",-0.40,0.45,65.79,"13,983","-3,824","8,787",
,3,-,-,23.67,-,-,780,"2,172.25","2,245.95",65,"21,850.00","26,585",0.45,0.50,"25,805",-0.50,0.45,64.41,"3,456",-158,"1,813",
