CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,8,-,-,74.83,-,-,780,"3,927.20","4,060.85","1,690","20,100.00","19,67,810",0.15,0.20,"11,55,830",-0.30,0.15,106.67,"44,525","-11,865","19,205",
,1,-,-,-,-,-,780,"3,870.55","4,164.75","1,690","20,150.00","21,125",0.20,0.30,"3,965",-0.20,0.30,105.31,"1,689",-442,895,
,1,-,-,-,-,-,780,"3,821.30","3,974.90",780,"20,200.00","4,17,365",0.15,0.20,"2,39,525",-0.30,0.20,103.94,"12,818","-4,989","6,095",
,1,-,-,-,-,-,780,"3,769.00","3,934.65",780,"20,250.00","7,995",0.25,0.30,"3,770",-0.20,0.30,105.91,945,150,564,
,2,-,-,-,-,-,65,"3,731.95","3,887.35",780,"20,300.00","21,970",0.30,0.35,"14,885",-0.20,0.30,104.51,"3,771",-528,"1,071",
,1,-,-,-,-,-,780,"3,665.75","3,832.25","1,690","20,350.00","1,885",0.25,0.35,"4,030",-0.25,0.25,104.42,800,169,470,
,1,-,-,-,-,-,65,"3,624.55","3,767.30",780,"20,400.00","2,795",0.25,0.35,"1,950",-0.25,0.25,101.72,"1,188",-305,448,
,1,-,-,-,-,-,780,"3,576.65","3,767.00",780,"20,450.00","1,300",0.25,0.30,"7,605",-0.25,0.25,100.33,844,-170,368,
,108,-22,62,-,"3,559.90",8.30,130,"3,560.90","3,599.40",130,"20,500.00","1,52,685",0.20,0.25,"33,605",-0.35,0.25,95.81,"16,182","-5,606","6,101",
,1,-,-,-,-,-,780,"3,471.95","3,599.60",780,"20,550.00","5,395",0.20,0.35,"2,925",-0.25,0.25,96.13,840,241,487,
,1,-,-,-,-,-,780,"3,421.20","3,553.80",780,"20,600.00","2,080",0.20,0.35,"3,380",-0.35,0.20,93.11,567,6,422,
,2,-,-,-,-,-,780,"3,376.65","3,483.40",390,"20,650.00","2,405",0.25,0.30,"6,305",-0.30,0.25,93.40,961,83,521,
,2,-,-,-,-,-,65,"3,319.50","3,471.50",780,"20,700.00","41,210",0.20,0.25,"15,405",-0.30,0.25,92.04,"2,326",-660,"1,597",
,1,-,-,-,-,-,780,"3,272.15","3,365.70",780,"20,750.00",130,0.30,0.35,"6,175",-0.35,0.30,92.03,463,114,307,
,-,-,-,64.41,-,-,65,"3,000.05","3,311.10",780,"20,800.00","45,370",0.25,0.30,"35,945",-0.45,0.25,87.75,"8,508","-1,781","2,020",
,3,-,-,-,-,-,780,"3,172.80","3,285.25",780,"20,850.00","1,885",0.30,0.35,"7,670",-0.30,0.30,87.96,"1,175",-46,485,
,3,-,-,-,-,-,780,"3,129.80","3,234.15",780,"20,900.00","1,430",0.30,0.35,"2,470",-0.40,0.30,86.60,"1,556",-357,728,
,2,-,-,-,-,-,780,"3,072.35","3,225.35",780,"20,950.00",130,0.30,0.35,"5,655",-0.30,0.35,85.25,"1,208",-84,491,
,"2,034",-456,565,-,"3,082.00",28.55,65,"3,080.00","3,083.00",65,"21,000.00","4,48,240",0.20,0.25,"2,94,255",-0.50,0.25,83.90,"61,077","-16,000","22,382",
,3,-,-,-,-,-,780,"2,964.10","3,058.80",780,"21,050.00","4,225",0.25,0.40,"6,175",-0.40,0.30,82.55,845,4,534,
,4,-,-,-,-,-,780,"2,925.85","3,001.25",65,"21,100.00","54,080",0.25,0.30,"1,51,970",-0.45,0.30,81.20,"7,672","-2,005","3,706",
,4,-,-,-,-,-,780,"2,876.20","2,955.65",780,"21,150.00","1,430",0.30,0.40,"1,690",-0.35,0.30,79.86,705,46,408,
,4,-,-,-,-,-,780,"2,815.55","2,984.40","1,755","21,200.00","45,760",0.30,0.35,"56,485",-0.50,0.30,79.71,"9,881","-2,036","2,713",
,4,-,-,-,-,-,780,"2,777.75","2,876.15","1,690","21,250.00","13,455",0.25,0.30,"8,515",-0.50,0.25,77.17,"2,391",-365,"1,109",
,4,-,-,54.25,-,-,780,"2,738.50","2,820.40",780,"21,300.00","51,350",0.30,0.35,"13,585",-0.55,0.30,76.99,"13,416","-4,779","3,823",
,5,-,-,170.74,-,-,65,"2,664.75","2,761.10",65,"21,350.00","1,105",0.25,0.40,"4,485",-0.50,0.30,75.63,482,-6,571,
,5,-,-,-,-,-,845,"2,623.10","2,696.75",65,"21,400.00","62,140",0.30,0.35,"41,145",-0.50,0.35,73.15,"10,477","-2,828","2,778",
,6,-,-,168.93,-,-,780,"2,580.25","2,708.85","1,755","21,450.00","23,075",0.35,0.40,"11,830",-0.50,0.35,73.90,"2,072",-132,"1,464",
,183,-5,6,-,"2,565.00",18.55,65,"2,578.85","2,582.20",65,"21,500.00","4,41,155",0.30,0.35,"2,10,210",-0.50,0.35,70.48,"77,737","-18,521","20,731",
,1,-,-,109.35,-,-,780,"2,478.95","2,563.45",780,"21,550.00","26,130",0.35,0.40,"15,665",-0.45,0.35,70.22,"2,405",-66,"1,784",
,3,-,-,-,-,-,780,"2,415.50","2,533.40","1,755","21,600.00","58,760",0.30,0.35,"87,425",-0.55,0.30,67.82,"12,590","-1,563","3,859",
,2,-,-,38.18,-,-,780,"2,391.25","2,465.65",845,"21,650.00","23,530",0.35,0.40,"15,665",-0.50,0.35,67.52,"2,783",198,"1,675",
,3,-,-,-,-,-,65,"2,339.45","2,423.90",780,"21,700.00","35,750",0.35,0.40,"92,820",-0.50,0.35,67.07,"7,325","-1,829","4,325",
,2,-,-,-,-,-,845,"2,288.35","2,360.30",65,"21,750.00","16,965",0.40,0.45,"14,755",-0.50,0.45,66.50,"3,109",396,"1,239",
,41,-,-,-,-,-,780,"2,242.20","2,328.80",780,"21,800.00","1,08,160",0.35,0.40,"63,375",-0.45,0.40,64.35,"12,637","-3,750","8,861",
,3,-,-,23.67,-,-,780,"2,193.15","2,265.65",780,"21,850.00","23,660",0.45,0.50,"28,145",-0.45,0.50,63.75,"3,450",-158,"1,813",
,5,-,1,-,"2,125.00",23.05,65,"2,126.15","2,207.65",65,"21,900.00","74,165",0.45,0.50,"83,395",-0.45,0.50,61.63,"6,455",-605,"4,037",
,4,-,-,-,-,-,780,"2,083.10","2,157.65",65,"21,950.00","18,850",0.50,0.55,"47,255",-0.50,0.50,61.00,"4,201",117,"2,102",
,"5,025",-416,934,-,"2,078.05",25.15,65,"2,082.00","2,082.70",65,"22,000.00","8,92,450",0.45,0.50,"2,40,825",-0.55,0.45,58.92,"85,039","-25,066","47,979",
,14,-,-,34.37,-,-,65,"2,006.95","2,060.75",780,"22,050.00","30,030",0.50,0.55,"54,405",-0.50,0.50,59.49,"6,398",-668,"3,667",
,17,-,-,-,-,-,780,"1,946.90","2,018.25",780,"22,100.00","2,28,150",0.50,0.55,"1,61,395",-0.55,0.55,58.09,"18,617","-5,460","14,020",
